date,state,gender,legal,indigenous,count
2005-03-01,ACT,Female,Remanded,ATSI,0
2005-03-01,ACT,Female,Remanded,Other,2
2005-03-01,ACT,Female,Sentenced,ATSI,0
2005-03-01,ACT,Female,Sentenced,Other,0
2005-03-01,ACT,Male,Remanded,ATSI,7
2005-03-01,ACT,Male,Remanded,Other,58
2005-03-01,ACT,Male,Sentenced,ATSI,0
2005-03-01,ACT,Male,Sentenced,Other,0
2005-03-01,NSW,Female,Remanded,ATSI,51
2005-03-01,NSW,Female,Remanded,Other,131
2005-03-01,NSW,Female,Sentenced,ATSI,0
2005-03-01,NSW,Female,Sentenced,Other,0
2005-03-01,NSW,Male,Remanded,ATSI,355
2005-03-01,NSW,Male,Remanded,Other,1617
2005-03-01,NSW,Male,Sentenced,ATSI,0
2005-03-01,NSW,Male,Sentenced,Other,0
2005-03-01,NT,Female,Remanded,ATSI,10
2005-03-01,NT,Female,Remanded,Other,3
2005-03-01,NT,Female,Sentenced,ATSI,0
2005-03-01,NT,Female,Sentenced,Other,0
2005-03-01,NT,Male,Remanded,ATSI,102
2005-03-01,NT,Male,Remanded,Other,45
2005-03-01,NT,Male,Sentenced,ATSI,0
2005-03-01,NT,Male,Sentenced,Other,0
2005-03-01,QLD,Female,Remanded,ATSI,23
2005-03-01,QLD,Female,Remanded,Other,58
2005-03-01,QLD,Female,Sentenced,ATSI,0
2005-03-01,QLD,Female,Sentenced,Other,0
2005-03-01,QLD,Male,Remanded,ATSI,216
2005-03-01,QLD,Male,Remanded,Other,784
2005-03-01,QLD,Male,Sentenced,ATSI,0
2005-03-01,QLD,Male,Sentenced,Other,0
2005-03-01,SA,Female,Remanded,ATSI,13
2005-03-01,SA,Female,Remanded,Other,25
2005-03-01,SA,Female,Sentenced,ATSI,0
2005-03-01,SA,Female,Sentenced,Other,0
2005-03-01,SA,Male,Remanded,ATSI,113
2005-03-01,SA,Male,Remanded,Other,373
2005-03-01,SA,Male,Sentenced,ATSI,0
2005-03-01,SA,Male,Sentenced,Other,0
2005-03-01,TAS,Female,Remanded,ATSI,2
2005-03-01,TAS,Female,Remanded,Other,8
2005-03-01,TAS,Female,Sentenced,ATSI,0
2005-03-01,TAS,Female,Sentenced,Other,0
2005-03-01,TAS,Male,Remanded,ATSI,13
2005-03-01,TAS,Male,Remanded,Other,93
2005-03-01,TAS,Male,Sentenced,ATSI,0
2005-03-01,TAS,Male,Sentenced,Other,0
2005-03-01,VIC,Female,Remanded,ATSI,4
2005-03-01,VIC,Female,Remanded,Other,58
2005-03-01,VIC,Female,Sentenced,ATSI,0
2005-03-01,VIC,Female,Sentenced,Other,0
2005-03-01,VIC,Male,Remanded,ATSI,34
2005-03-01,VIC,Male,Remanded,Other,553
2005-03-01,VIC,Male,Sentenced,ATSI,0
2005-03-01,VIC,Male,Sentenced,Other,0
2005-03-01,WA,Female,Remanded,ATSI,34
2005-03-01,WA,Female,Remanded,Other,27
2005-03-01,WA,Female,Sentenced,ATSI,0
2005-03-01,WA,Female,Sentenced,Other,0
2005-03-01,WA,Male,Remanded,ATSI,189
2005-03-01,WA,Male,Remanded,Other,306
2005-03-01,WA,Male,Sentenced,ATSI,0
2005-03-01,WA,Male,Sentenced,Other,0
2005-06-01,ACT,Female,Remanded,ATSI,1
2005-06-01,ACT,Female,Remanded,Other,3
2005-06-01,ACT,Female,Sentenced,ATSI,0
2005-06-01,ACT,Female,Sentenced,Other,0
2005-06-01,ACT,Male,Remanded,ATSI,7
2005-06-01,ACT,Male,Remanded,Other,59
2005-06-01,ACT,Male,Sentenced,ATSI,0
2005-06-01,ACT,Male,Sentenced,Other,0
2005-06-01,NSW,Female,Remanded,ATSI,53
2005-06-01,NSW,Female,Remanded,Other,138
2005-06-01,NSW,Female,Sentenced,ATSI,0
2005-06-01,NSW,Female,Sentenced,Other,0
2005-06-01,NSW,Male,Remanded,ATSI,351
2005-06-01,NSW,Male,Remanded,Other,1624
2005-06-01,NSW,Male,Sentenced,ATSI,0
2005-06-01,NSW,Male,Sentenced,Other,0
2005-06-01,NT,Female,Remanded,ATSI,7
2005-06-01,NT,Female,Remanded,Other,3
2005-06-01,NT,Female,Sentenced,ATSI,0
2005-06-01,NT,Female,Sentenced,Other,0
2005-06-01,NT,Male,Remanded,ATSI,99
2005-06-01,NT,Male,Remanded,Other,41
2005-06-01,NT,Male,Sentenced,ATSI,0
2005-06-01,NT,Male,Sentenced,Other,0
2005-06-01,QLD,Female,Remanded,ATSI,26
2005-06-01,QLD,Female,Remanded,Other,55
2005-06-01,QLD,Female,Sentenced,ATSI,0
2005-06-01,QLD,Female,Sentenced,Other,0
2005-06-01,QLD,Male,Remanded,ATSI,225
2005-06-01,QLD,Male,Remanded,Other,794
2005-06-01,QLD,Male,Sentenced,ATSI,0
2005-06-01,QLD,Male,Sentenced,Other,0
2005-06-01,SA,Female,Remanded,ATSI,12
2005-06-01,SA,Female,Remanded,Other,27
2005-06-01,SA,Female,Sentenced,ATSI,0
2005-06-01,SA,Female,Sentenced,Other,0
2005-06-01,SA,Male,Remanded,ATSI,92
2005-06-01,SA,Male,Remanded,Other,359
2005-06-01,SA,Male,Sentenced,ATSI,0
2005-06-01,SA,Male,Sentenced,Other,0
2005-06-01,TAS,Female,Remanded,ATSI,2
2005-06-01,TAS,Female,Remanded,Other,6
2005-06-01,TAS,Female,Sentenced,ATSI,0
2005-06-01,TAS,Female,Sentenced,Other,0
2005-06-01,TAS,Male,Remanded,ATSI,15
2005-06-01,TAS,Male,Remanded,Other,98
2005-06-01,TAS,Male,Sentenced,ATSI,0
2005-06-01,TAS,Male,Sentenced,Other,0
2005-06-01,VIC,Female,Remanded,ATSI,2
2005-06-01,VIC,Female,Remanded,Other,57
2005-06-01,VIC,Female,Sentenced,ATSI,0
2005-06-01,VIC,Female,Sentenced,Other,0
2005-06-01,VIC,Male,Remanded,ATSI,42
2005-06-01,VIC,Male,Remanded,Other,545
2005-06-01,VIC,Male,Sentenced,ATSI,0
2005-06-01,VIC,Male,Sentenced,Other,0
2005-06-01,WA,Female,Remanded,ATSI,24
2005-06-01,WA,Female,Remanded,Other,28
2005-06-01,WA,Female,Sentenced,ATSI,0
2005-06-01,WA,Female,Sentenced,Other,0
2005-06-01,WA,Male,Remanded,ATSI,186
2005-06-01,WA,Male,Remanded,Other,332
2005-06-01,WA,Male,Sentenced,ATSI,0
2005-06-01,WA,Male,Sentenced,Other,0
2005-09-01,ACT,Female,Remanded,ATSI,0
2005-09-01,ACT,Female,Remanded,Other,1
2005-09-01,ACT,Female,Sentenced,ATSI,0
2005-09-01,ACT,Female,Sentenced,Other,0
2005-09-01,ACT,Male,Remanded,ATSI,9
2005-09-01,ACT,Male,Remanded,Other,54
2005-09-01,ACT,Male,Sentenced,ATSI,0
2005-09-01,ACT,Male,Sentenced,Other,0
2005-09-01,NSW,Female,Remanded,ATSI,53
2005-09-01,NSW,Female,Remanded,Other,133
2005-09-01,NSW,Female,Sentenced,ATSI,0
2005-09-01,NSW,Female,Sentenced,Other,0
2005-09-01,NSW,Male,Remanded,ATSI,324
2005-09-01,NSW,Male,Remanded,Other,1520
2005-09-01,NSW,Male,Sentenced,ATSI,0
2005-09-01,NSW,Male,Sentenced,Other,0
2005-09-01,NT,Female,Remanded,ATSI,5
2005-09-01,NT,Female,Remanded,Other,3
2005-09-01,NT,Female,Sentenced,ATSI,0
2005-09-01,NT,Female,Sentenced,Other,0
2005-09-01,NT,Male,Remanded,ATSI,94
2005-09-01,NT,Male,Remanded,Other,29
2005-09-01,NT,Male,Sentenced,ATSI,0
2005-09-01,NT,Male,Sentenced,Other,0
2005-09-01,QLD,Female,Remanded,ATSI,24
2005-09-01,QLD,Female,Remanded,Other,52
2005-09-01,QLD,Female,Sentenced,ATSI,0
2005-09-01,QLD,Female,Sentenced,Other,0
2005-09-01,QLD,Male,Remanded,ATSI,227
2005-09-01,QLD,Male,Remanded,Other,762
2005-09-01,QLD,Male,Sentenced,ATSI,0
2005-09-01,QLD,Male,Sentenced,Other,0
2005-09-01,SA,Female,Remanded,ATSI,16
2005-09-01,SA,Female,Remanded,Other,32
2005-09-01,SA,Female,Sentenced,ATSI,0
2005-09-01,SA,Female,Sentenced,Other,0
2005-09-01,SA,Male,Remanded,ATSI,101
2005-09-01,SA,Male,Remanded,Other,375
2005-09-01,SA,Male,Sentenced,ATSI,0
2005-09-01,SA,Male,Sentenced,Other,0
2005-09-01,TAS,Female,Remanded,ATSI,3
2005-09-01,TAS,Female,Remanded,Other,7
2005-09-01,TAS,Female,Sentenced,ATSI,0
2005-09-01,TAS,Female,Sentenced,Other,0
2005-09-01,TAS,Male,Remanded,ATSI,20
2005-09-01,TAS,Male,Remanded,Other,95
2005-09-01,TAS,Male,Sentenced,ATSI,0
2005-09-01,TAS,Male,Sentenced,Other,0
2005-09-01,VIC,Female,Remanded,ATSI,6
2005-09-01,VIC,Female,Remanded,Other,53
